bibkey,url,bib_title,bib_doi,match_title,match_doi,title_match_ratio,same_doi,search_string
abel19,https://repository.ubn.ru.nl/handle/2066/215198,"Computational pathology definitions, best practices, and recommendations for regulatory guidance: a white paper from the Digital Pathology Association",https://doi.org/10.1002/path.5331,"Computational pathology definitions, best practices, and recommendations for regulatory guidance: a white paper from the Digital Pathology Association.",https://doi.org/10.1002/path.5331,0.9966777408637874,True,"Computational pathology definitions, best practices, and recommendations for regulatory guidance a white paper from the Digital Pathology Association Abels Pantanowitz Aeffner Zarella Laak Bui Vemuri Parwani Gibbs Agosto-Arroyo Beck Kozlowski"
amga20,https://repository.ubn.ru.nl/handle/2066/220833,Report on computational assessment of Tumor Infiltrating Lymphocytes from the International Immuno-Oncology Biomarker Working Group,https://doi.org/10.1038/s41523-020-0154-2,Report on computational assessment of Tumor Infiltrating Lymphocytes from the International Immuno-Oncology Biomarker Working Group,https://doi.org/10.1038/s41523-020-0154-2,1.0,True,Report on computational assessment of Tumor Infiltrating Lymphocytes from the International Immuno-Oncology Biomarker Working Group Amgad Stovgaard Balslev Thagaard Chen Dudgeon Sharma Kerner Denkert Yuan AbdulJabbar Wienert Savas Voorwerk Beck Madabhushi Hartman Sebastian Horlings Hudeček Ciompi Moore Singh Roblin Balancin Mathieu Lennerz Kirtani Chen Braybrooke Pruneri Demaria Adams Schnitt Lakhani Rojo Comerma Badve Khojasteh Symmans Sotiriou Gonzalez-Ericsson Pogue-Geile Kim Rimm Viale Hewitt Bartlett Penault-Llorca Goel Lien Loibl Kos Loi Hanna Michiels Kok Nielsen Lazar Bago-Horvath Kooreman Laak Saltz Gallas Kurkure Barnes Salgado Cooper
apru19,https://repository.ubn.ru.nl/handle/2066/202849,Robust and accurate quantification of biomarkers of immune cells in lung cancer micro-environment using deep convolutional neural networks,https://doi.org/10.7717/peerj.6335,Robust and accurate quantification of biomarkers of immune cells in lung cancer micro-environment using deep convolutional neural networks,https://doi.org/10.7717/peerj.6335,1.0,True,Robust and accurate quantification of biomarkers of immune cells in lung cancer micro-environment using deep convolutional neural networks Aprupe Litjens Brinker Laak Grabe
ares19,https://repository.ubn.ru.nl/handle/2066/207075,iW-Net: an automatic and minimalistic interactive lung nodule segmentation deep network,https://doi.org/10.1038/s41598-019-48004-8,iW-Net: an automatic and minimalistic interactive lung nodule segmentation deep network,https://doi.org/10.1038/s41598-019-48004-8,1.0,True,iW-Net an automatic and minimalistic interactive lung nodule segmentation deep network Aresta Jacobs Araujo Cunha Ramos Ginneken Campilho
arma18,,The PROSTATEx Challenges for Computerized Classification of Prostate Lesions from Multi-Parametric Magnetic Resonance Images,https://doi.org/10.1117/1.JMI.5.4.044501,,,,False,The PROSTATEx Challenges for Computerized Classification of Prostate Lesions from Multi-Parametric Magnetic Resonance Images Armato Huisman Drukker Hadjiiski Kirby Petrick Redmond Giger Cha Mamonov Kalpathy-Cramer Farahani
arta09,https://repository.ubn.ru.nl/handle/2066/79921,Airway segmentation and analysis for the study of mouse models of lung disease using micro-CT,https://doi.org/10.1088/0031-9155/54/22/017,Airway segmentation and analysis for the study of mouse models of lung disease using micro-CT.,https://doi.org/10.1088/0031-9155/54/22/017,0.9946524064171123,True,Airway segmentation and analysis for the study of mouse models of lung disease using micro-CT Artaechevarria Pérez-Martin Ceresa Biurrun Blanco Montuenga Ginneken Ortiz-de-Solórzano Muñoz-Barrutia
arzh10,https://repository.ubn.ru.nl/handle/2066/88430,Automated estimation of progression of interstitial lung disease in CT images,https://doi.org/10.1118/1.3264662,Automated estimation of progression of interstitial lung disease in CT images.,https://doi.org/10.1118/1.3264662,0.9935483870967742,True,Automated estimation of progression of interstitial lung disease in CT images Arzhaeva Prokop Murphy Rikxoort Jong Gietema Viergever Ginneken
baid18,https://repository.ubn.ru.nl/handle/2066/197167,Evaluating the benefits of digital pathology implementation: time savings in laboratory logistics,https://doi.org/10.1111/his.13691,Evaluating the benefits of digital pathology implementation: time savings in laboratory logistics,https://doi.org/10.1111/his.13691,1.0,True,Evaluating the benefits of digital pathology implementation time savings in laboratory logistics Baidoshvili Bucur Leeuwen Laak Kluin Diest
baid18a,,Validation of a whole-slide image-based teleconsultation network,https://doi.org/10.1111/his.13673,,,,False,Validation of a whole-slide image-based teleconsultation network Baidoshvili Stathonikos Freling Bart Hart Laak Doff Vegt Kluin  Philip Dies
balk19,https://repository.ubn.ru.nl/handle/2066/206059,Deep learning and manual assessment show that the absolute mitotic count does not contain prognostic information in triple negative breast cancer,https://doi.org/10.1007/s13402-019-00445-z,Deep learning and manual assessment show that the absolute mitotic count does not contain prognostic information in triple negative breast cancer,https://doi.org/10.1007/s13402-019-00445-z,1.0,True,Deep learning and manual assessment show that the absolute mitotic count does not contain prognostic information in triple negative breast cancer Balkenhol Bult Tellez Vreuls Clahsen Ciompi Laak
